id,ticker,sentiment_text,date,label
1,MSFT,Microsoft continues to attract bullish sentiment amid ongoing investments in AI infrastructure and strong fundamentals. Recent support for AI startup,2023-01-01,0
2,NVDA,"NVIDIA (NASDAQ: NVDA) today reported record revenue for the fourth quarter ended January 25, 2026, of $68.1 billion, up 20% from the previous quarter and up",2023-01-01,0
3,APH,Here's Why Amphenol Stock Is a Buy Even With a Higher P/E of 29.36X. Zacks Investment Research • 02/05/26. Amphenol Announces First Quarter 2026 Dividend.,2023-01-01,0
4,AAPL,"Apple (AAPL) reported fiscal Q1 2026 results for the quarter ended December 27, 2025, with $143.8 billion revenue (+16% YoY) and $2.84 diluted EPS (+19% YoY),",2023-01-01,0
5,AAPL,"Apple (AAPL) reported fiscal Q1 2026 results for the quarter ended December 27, 2025, with $143.8 billion revenue (+16% YoY) and $2.84 diluted EPS (+19% YoY),",2023-01-01,0
6,AAPL,"Find the latest Apple news today, including breaking Apple stock news, key announcements, and market-moving updates. Summarize AAPL's latest news.",2023-01-01,0
7,AAPL,"Find the latest Apple news today, including breaking Apple stock news, key announcements, and market-moving updates. Summarize AAPL's latest news.",2023-01-01,0
8,MSFT,"Latest MSFT News ; Stocks Retreat on Inflation Concerns and a Weak US Job Market. 4 minutes ago ; Should You Buy, Sell, or Hold UiPath Stock Before Q4 Earnings? 1",2023-01-01,0
9,APH,News headlines Amphenol Corporation (APH) is navigating a mixed landscape of strong performance and elevated valuation concerns. Recent acquisitions and a,2023-01-01,0
10,NVDA,"NVIDIA (NASDAQ: NVDA) today reported record revenue for the fourth quarter ended January 25, 2026, of $68.1 billion, up 20% from the previous quarter and up",2023-01-01,0
11,NVDA,"Find the latest NVIDIA news today, including breaking NVIDIA stock news, key announcements, and market-moving updates. Summarize NVDA's latest news.",2023-01-01,0
12,NVDA,"NVIDIA (NASDAQ: NVDA) today reported record revenue for the fourth quarter ended January 25, 2026, of $68.1 billion, up 20% from the previous quarter and up",2023-01-01,0
13,NVDA,"Find the latest NVIDIA news today, including breaking NVIDIA stock news, key announcements, and market-moving updates. Summarize NVDA's latest news.",2023-01-01,0
14,AAPL,"Apple's recent product launches, including the $599 MacBook Neo, mark a strategic push into the budget segment, aimed at competing with lower-cost PCs.",2023-01-01,0
15,AAPL,"Find the latest Apple news today, including breaking Apple stock news, key announcements, and market-moving updates. Summarize AAPL's latest news.",2023-01-01,0
16,AAPL,"Apple's recent product launches, including the $599 MacBook Neo, mark a strategic push into the budget segment, aimed at competing with lower-cost PCs.",2023-01-01,0
17,AAPL,"Apple's recent product launches, including the $599 MacBook Neo, mark a strategic push into the budget segment, aimed at competing with lower-cost PCs.",2023-01-01,0
18,AAPL,"Find the latest Apple news today, including breaking Apple stock news, key announcements, and market-moving updates. Summarize AAPL's latest news.",2023-01-01,0
19,AAPL,"Find the latest Apple news today, including breaking Apple stock news, key announcements, and market-moving updates. Summarize AAPL's latest news.",2023-01-01,0
20,NVDA,"News headlines Nvidia is making significant strides in the AI sector with a $2 billion investment in Nebius, while also seeing strong demand for its chips in",2023-01-01,0
21,NVDA,"NVDA News · Nvidia to invest in AI startup Thinking Machines, supply chips as part of multi-year deal · Nvidia in focus as BofA reiterates Buy ahead of GTC.",2023-01-01,0
22,ARE,"Iran's new supreme leader, Mojtaba Khamenei, released a public message on Thursday as concerns rise about ships being attacked in the Strait",2023-01-01,0
23,AAPL,"Apple's recent product launches, including the $599 MacBook Neo, mark a strategic push into the budget segment, aimed at competing with lower-cost PCs.",2023-01-01,0
24,MSFT,"Microsoft is actively expanding its data center commitments and AI capabilities, with nearly $50 billion in new leases. Analysts highlight its potential",2023-01-01,0
25,MSFT,"Microsoft (MSFT) announced a quarterly dividend of $0.91 per share. The board declared the dividend on March 10, 2026; it is payable June 11, 2026, to",2023-01-01,0
26,APH,Here's Why Amphenol Stock Is a Buy Even With a Higher P/E of 29.36X. Zacks Investment Research • 02/05/26. Amphenol Announces First Quarter 2026 Dividend.,2023-01-01,0
27,NVDA,"NVIDIA (NASDAQ: NVDA) today reported record revenue for the fourth quarter ended January 25, 2026, of $68.1 billion, up 20% from the previous quarter and up",2023-01-01,0
28,AAPL,"Apple (AAPL) reported fiscal Q1 2026 results for the quarter ended December 27, 2025, with $143.8 billion revenue (+16% YoY) and $2.84 diluted EPS (+19% YoY),",2023-01-01,0
29,MSFT,"News headlines Microsoft is set to launch a new $99 AI-powered subscription tier, Microsoft 365 E7, as it continues to see strong revenue growth.",2023-01-01,0
30,APH,"Yes, APH pays dividends. APH's latest announced quarterly dividend was declared on 02/05/2026 for $0.25 and goes ex-dividend on 03/23/2026. You can view",2023-01-01,0
31,NVDA,"NVIDIA (NASDAQ: NVDA) today reported record revenue for the fourth quarter ended January 25, 2026, of $68.1 billion, up 20% from the previous quarter and up",2023-01-01,0
32,MSFT,"News headlines Microsoft is actively expanding its AI initiatives, particularly in Africa, and launching new AI products. Despite a 16.4% decline year-to-date,",2023-01-01,0
33,AAPL,"Apple (AAPL) reported fiscal Q1 2026 results for the quarter ended December 27, 2025, with $143.8 billion revenue (+16% YoY) and $2.84 diluted EPS (+19% YoY),",2023-01-01,0
